tick,hydra_state,hydra_next_state,hydra_uart_has_data,hydra_sel_onehot,hydra_uld_rx_data_uart,hydra_rx_data_flag,hydra_comms_busy,hydra_pkt_valid,hydra_fifo_write_n,hydra_rx_data_word,hydra_comms_rcvd_pkt,hydra_comms_read_pkt,hydra_fifo_rd_data,hydra_fifo_read_pointer,hydra_fifo_write_pointer,hydra_fifo_counter_debug,hydra_fifo_read_n,hydra_fifo_write_n_internal,hydra_fifo_mem0,hydra_fifo_mem1,north_rx_empty,east_rx_empty,south_rx_empty,west_rx_empty,north_hold_valid,east_hold_valid,south_hold_valid,west_hold_valid,north_rx_data,east_rx_data,south_rx_data,west_rx_data,north_hold_reg,east_hold_reg,south_hold_reg,west_hold_reg
10,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
11,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
12,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
13,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
14,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
15,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
16,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
17,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
18,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
19,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
20,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
21,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
22,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
23,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
24,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
25,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
26,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
27,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
28,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
29,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
30,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
31,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
32,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
33,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
34,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
35,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
36,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
37,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
38,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
39,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
40,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
41,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
42,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
43,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
44,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
45,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
46,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
47,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
48,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
49,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
50,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
51,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
52,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
53,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
54,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
55,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
56,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
57,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
58,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
59,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
60,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
61,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
62,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
63,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
64,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
65,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
66,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
67,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
68,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
69,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
70,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
71,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
72,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
73,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
